,num_posts
2009-04-19,1627
2009-04-14,3267
2009-04-15,3737
2009-04-16,3624
2009-04-17,3414
2009-04-10,2381
2009-04-11,1522
2009-04-12,1303
2009-04-13,2626
2010-01-24,3637
2010-01-25,6082
2010-01-26,6131
2010-01-27,6678
2010-01-20,6695
2010-01-21,6762
2010-01-22,6262
2010-01-23,3294
2010-01-28,6544
2010-01-29,6184
2009-05-25,2911
2010-05-19,6997
2009-05-22,3942
2012-12-25,6810
2009-05-23,1879
2009-05-20,4407
2009-05-21,4286
2010-05-31,4944
2010-05-30,3173
2008-10-21,2904
2008-10-20,2497
2008-10-23,2866
2008-10-22,2975
2008-10-25,1165
2008-10-24,2599
2008-10-27,2109
2008-10-26,1082
2008-10-29,2785
2008-10-28,2710
2012-12-20,16039
2012-12-21,13693
2011-04-30,5947
2010-05-14,6152
2012-09-22,7608
2012-09-23,7248
2011-08-31,11923
2011-08-30,11883
2009-08-30,2255
2009-08-31,4043
2008-09-01,958
2012-09-28,14308
2012-09-29,7255
2010-04-01,5856
2010-09-30,7676
2008-10-01,3311
2009-12-04,5626
2009-12-05,2900
2009-12-06,2667
2009-12-07,5641
2009-12-01,5551
2009-12-02,5926
2009-12-03,6132
2010-04-05,4684
2009-12-08,5933
2009-12-09,5893
2010-04-04,2789
2012-05-28,11427
2012-05-29,14235
2010-04-07,6422
2012-05-22,15026
2012-05-23,15177
2012-05-20,7090
2010-04-06,6234
2012-05-26,6849
2012-05-27,6415
2012-05-24,14650
2012-05-25,13306
2008-09-30,3513
2009-11-22,2691
2009-11-21,2797
2009-11-20,5285
2009-11-27,4186
2009-11-26,4658
2009-11-25,5981
2009-11-24,5881
2009-11-29,2592
2009-11-28,2643
2009-04-03,3398
2009-04-02,3614
2009-04-01,3409
2009-04-07,3540
2009-04-06,3194
2009-04-05,1514
2009-04-04,1644
2009-04-09,3428
2009-04-08,3658
2011-03-16,12106
2011-03-17,11856
2011-03-14,10971
2011-03-15,11691
2011-03-12,5868
2011-03-13,6086
2011-03-10,11853
2011-03-11,10739
2010-01-31,3378
2010-01-30,3268
2011-03-18,10748
2011-03-19,5900
2009-10-21,5311
2010-04-18,3366
2010-04-19,6102
2010-04-12,5965
2010-04-13,6672
2010-04-10,3304
2010-04-11,3127
2010-04-16,5942
2010-04-17,3231
2010-04-14,6686
2010-04-15,6645
2008-10-14,2983
2008-10-15,2741
2008-10-16,2813
2008-10-17,2624
2008-10-10,2803
2008-10-11,1092
2008-10-12,1078
2008-10-13,2475
2008-10-18,1138
2008-10-19,1044
2010-03-26,6129
2010-03-27,3227
2010-03-24,6591
2010-03-25,6750
2010-03-22,6208
2010-03-23,6671
2010-03-20,3388
2010-03-21,3390
2010-03-28,3137
2010-03-29,5857
2013-10-26,10118
2013-10-22,20496
2013-10-28,18956
2011-04-08,11321
2011-04-09,5900
2011-04-04,10718
2011-04-05,12404
2011-04-06,12524
2011-04-07,12620
2011-04-01,10591
2011-04-02,5791
2011-04-03,5872
2009-08-29,2291
2009-08-28,4757
2009-08-25,5301
2009-08-24,4628
2009-08-27,5091
2009-08-26,5582
2009-08-21,4325
2009-08-20,5281
2009-08-23,2093
2009-08-22,2193
2009-12-19,2630
2009-12-18,5041
2009-05-24,1828
2009-12-13,2740
2009-12-12,2881
2009-12-11,5586
2009-12-10,6119
2009-12-17,5843
2009-12-16,6330
2009-12-15,6033
2009-12-14,5246
2011-08-08,11444
2011-08-09,12635
2012-05-31,14571
2011-08-01,11036
2011-08-02,12389
2011-08-03,12622
2011-08-04,13301
2011-08-05,11977
2011-08-06,5033
2011-08-07,5891
2009-07-02,4491
2009-07-03,3329
2009-07-01,4430
2009-07-06,4069
2009-07-07,4832
2009-07-04,1731
2009-07-05,1573
2009-07-08,4890
2009-07-09,5039
2012-09-08,7254
2012-09-09,7173
2012-09-01,7180
2012-09-02,6973
2012-09-03,12183
2012-09-04,14871
2012-09-05,15565
2012-09-06,15829
2012-09-07,14287
2008-09-27,1599
2008-09-26,4121
2008-09-25,4429
2008-09-24,4295
2008-09-23,4636
2008-09-22,4254
2008-09-21,1843
2008-09-20,2203
2013-11-22,19200
2013-11-23,10844
2013-11-20,21424
2013-11-21,21152
2013-11-26,21103
2013-11-27,20590
2008-09-29,3145
2008-09-28,1588
2012-12-01,8450
2012-12-02,8664
2012-10-08,14229
2012-10-09,15944
2012-10-02,14848
2012-10-03,15536
2012-10-01,13956
2012-10-06,7973
2012-10-07,7534
2012-10-04,16124
2012-10-05,14911
2012-12-06,16862
2012-12-07,15230
2010-07-22,8188
2010-07-23,7528
2010-07-20,7984
2010-07-21,8104
2010-07-26,7166
2010-07-27,7758
2010-07-24,3622
2010-07-25,3507
2010-07-28,8239
2010-07-29,8054
2011-03-05,6143
2011-03-04,10817
2011-03-07,10858
2011-03-06,5879
2011-03-01,11180
2011-03-03,11393
2011-03-02,11400
2011-03-09,12189
2011-03-08,11350
2013-07-30,19957
2013-07-31,20422
2011-07-12,12619
2011-07-13,12524
2011-07-10,5352
2011-07-11,11713
2011-07-16,5809
2011-07-17,5654
2011-07-14,12320
2011-07-15,11248
2011-07-18,11455
2011-07-19,12754
2010-04-09,6291
2010-04-08,6444
2008-10-09,3241
2008-10-08,3409
2008-10-03,3044
2008-10-02,3586
2010-04-03,2773
2010-04-02,4466
2008-10-07,3139
2008-10-06,2806
2008-10-05,1159
2008-10-04,1302
2013-03-30,9550
2013-03-31,9327
2010-03-31,6531
2010-03-30,6392
2010-02-07,3087
2010-02-06,3337
2009-01-22,2805
2012-01-16,11604
2009-01-20,3092
2009-01-21,3145
2009-01-26,2763
2010-02-09,6545
2009-01-27,3137
2011-05-26,12278
2009-01-24,1366
2012-01-10,13332
2011-04-13,12309
2011-04-12,12302
2011-04-11,11644
2011-04-10,5901
2011-04-17,5989
2011-04-16,6062
2011-04-15,10813
2011-04-14,12093
2011-04-19,12121
2011-04-18,11196
2009-08-10,4389
2009-08-11,4822
2009-08-12,4936
2009-08-13,5152
2009-08-14,4652
2009-08-15,2004
2009-08-16,2124
2009-08-17,4592
2009-08-18,5139
2009-08-19,5186
2013-08-08,19313
2013-08-09,16446
2013-08-06,19420
2013-08-07,20107
2013-08-04,8874
2013-08-05,17829
2013-08-02,18375
2013-08-03,8942
2013-08-01,20412
2010-11-30,9239
2012-05-08,14861
2012-05-09,14861
2011-08-19,11284
2011-08-18,12634
2011-08-17,12506
2011-08-16,12473
2011-08-15,10110
2011-08-14,5661
2011-08-13,5682
2011-08-12,11547
2011-08-11,12936
2011-08-10,12954
2009-07-11,2107
2009-07-10,4612
2009-07-13,4581
2009-07-12,1896
2009-07-15,5164
2009-07-14,5064
2009-07-17,4576
2009-07-16,5253
2009-07-19,1999
2009-07-18,2237
2012-11-27,16875
2012-11-26,15406
2010-10-22,7600
2012-11-25,8432
2012-11-24,8257
2012-09-19,14965
2012-09-18,15247
2012-09-17,14390
2012-09-16,6966
2012-09-15,6696
2012-09-14,14237
2012-09-13,15897
2012-09-12,15263
2012-09-11,15581
2009-11-17,5980
2012-11-21,16709
2010-10-23,4209
2012-11-20,16733
2011-11-06,6067
2011-11-07,11186
2011-11-04,11859
2011-11-05,6034
2011-11-02,12490
2011-11-03,12601
2011-11-01,11418
2011-11-08,12307
2011-11-09,12527
2012-10-19,15605
2012-10-18,17072
2012-10-11,17003
2012-10-10,16799
2012-10-13,7979
2012-10-12,15442
2012-10-15,15056
2012-10-14,7996
2012-10-17,16980
2012-10-16,16539
2011-12-30,9012
2011-12-31,5100
2013-04-08,18416
2013-04-09,20052
2013-04-02,19267
2013-04-03,20093
2013-04-01,14969
2013-04-06,10027
2013-04-07,10065
2013-04-04,19804
2013-04-05,18321
2009-03-08,1519
2009-03-09,3324
2009-03-06,3097
2009-03-07,1530
2009-03-04,3627
2009-03-05,3530
2009-03-02,3081
2009-03-03,3456
2009-03-01,1502
2010-07-31,3444
2010-07-30,7203
2011-03-30,11787
2011-03-31,12185
2010-10-24,3803
2013-07-21,8733
2013-07-20,8919
2013-07-23,20208
2013-07-22,18117
2013-07-25,20640
2013-07-24,20570
2013-07-27,9177
2013-07-26,18897
2013-07-29,18757
2013-07-28,9050
2012-02-16,14957
2012-02-17,13798
2011-07-03,5194
2012-02-15,15009
2012-02-12,7569
2012-02-13,13564
2012-02-10,13451
2012-02-11,7385
2011-07-09,5677
2011-07-08,11458
2012-02-18,7032
2012-02-19,7923
2010-04-30,5748
2010-03-08,6164
2010-03-09,6766
2013-03-29,15213
2013-03-28,19097
2013-03-25,18029
2010-03-01,5759
2010-03-02,6690
2010-03-03,6764
2010-03-04,6565
2010-03-05,6156
2010-03-06,3227
2010-03-07,3360
2011-11-28,12097
2011-11-29,13271
2011-11-20,6455
2011-11-21,12348
2012-06-12,14764
2012-06-13,15779
2012-06-10,6639
2012-06-11,13293
2012-06-16,7077
2012-06-17,6653
2012-06-14,15218
2012-06-15,14190
2012-06-18,14348
2011-11-27,6439
2009-08-07,4487
2009-08-06,5053
2009-08-05,4939
2009-08-04,4468
2009-08-03,4290
2009-08-02,1893
2009-08-01,2012
2009-08-09,2046
2009-08-08,2192
2013-08-19,17054
2013-08-18,8730
2013-08-15,16789
2013-08-14,19878
2013-08-17,8983
2013-08-16,17015
2013-08-11,8776
2013-08-10,8508
2013-08-13,19457
2012-11-23,13034
2010-11-29,8091
2010-11-28,4588
2010-11-25,7689
2010-11-24,8995
2010-11-27,4585
2010-11-26,6534
2010-11-21,4705
2010-11-20,4497
2010-11-23,9272
2010-11-22,8938
2008-09-16,7349
2012-11-22,14867
2012-05-04,14231
2012-05-05,7931
2012-05-06,7076
2012-05-07,12949
2012-05-01,11959
2010-12-06,8640
2010-12-07,9217
2010-12-04,4779
2010-12-05,4804
2010-12-02,9474
2010-12-03,8450
2012-05-15,15142
2010-12-01,9087
2012-05-19,7267
2012-05-03,14965
2010-12-08,9108
2010-12-09,9233
2009-07-24,4665
2009-07-25,2243
2009-07-26,2147
2009-07-27,4489
2009-07-20,4538
2009-07-21,4908
2009-07-22,5529
2009-07-23,5318
2009-07-28,5126
2009-07-29,5326
2012-11-03,8390
2012-11-02,14633
2013-11-08,18386
2013-11-09,10257
2013-11-04,17095
2013-11-05,18833
2013-11-06,20725
2013-11-07,20484
2013-11-01,16115
2013-11-02,9261
2013-11-03,9754
2011-11-15,12917
2011-11-14,12032
2011-11-17,13569
2011-11-16,13435
2011-11-11,11402
2011-11-10,12612
2011-11-13,6246
2011-11-12,6116
2012-11-09,14928
2011-11-19,6624
2011-11-18,12558
2012-11-08,16592
2013-07-08,17139
2012-10-28,7589
2012-10-29,14378
2012-10-24,15738
2012-10-25,16456
2012-10-26,14281
2012-10-27,7857
2012-10-20,8216
2012-10-21,8188
2012-10-22,15467
2012-10-23,16417
2011-12-29,10520
2011-12-28,10503
2013-07-02,18991
2011-12-25,3967
2011-12-24,4980
2011-12-27,8889
2011-12-26,6599
2011-12-21,12413
2011-12-20,12362
2011-12-23,9180
2011-12-22,11235
2013-04-19,17200
2013-04-18,19424
2013-04-11,18900
2013-04-10,20308
2013-04-13,9732
2013-04-12,18433
2013-04-15,17527
2013-04-14,9799
2013-04-17,19652
2008-07-31,7
2009-03-19,3135
2009-03-18,3382
2009-03-15,1527
2009-03-14,1573
2009-03-17,3186
2009-03-16,3227
2009-03-11,3332
2009-03-10,3425
2009-03-13,3384
2009-03-12,3364
2010-07-04,2926
2010-07-05,5381
2010-07-06,7125
2010-07-07,7591
2010-07-01,7091
2010-07-02,6206
2010-07-03,3031
2011-03-27,6235
2011-03-26,5884
2011-03-25,10658
2011-03-24,12060
2010-07-08,7858
2010-07-09,7211
2011-03-21,11052
2011-03-20,5855
2012-08-31,14133
2012-12-29,8091
2013-07-14,8124
2012-12-26,10593
2013-07-16,19731
2013-07-17,20045
2013-07-10,19351
2013-07-11,19275
2013-07-12,17263
2012-12-27,12700
2013-07-18,20242
2012-12-24,9078
2012-02-05,7274
2012-02-04,7300
2012-02-07,14514
2012-02-06,12795
2011-07-30,5638
2011-07-31,5573
2012-02-03,13110
2012-02-02,14323
2012-12-22,7348
2012-02-09,14930
2012-02-08,15081
2010-04-23,6239
2010-04-22,6850
2010-04-21,6690
2010-04-20,6626
2010-04-27,7011
2010-04-26,6326
2010-04-25,3235
2010-04-24,3381
2010-04-29,6524
2010-04-28,6816
2013-03-10,10064
2013-03-11,18248
2013-03-12,20210
2013-03-13,20547
2013-03-14,20172
2013-03-15,18302
2012-01-28,6911
2012-01-29,7012
2010-03-17,6497
2012-01-27,12204
2010-03-15,5900
2010-03-14,3210
2012-01-22,6936
2012-01-23,12386
2010-03-11,6759
2010-03-10,6886
2013-11-30,10281
2013-12-26,13075
2012-06-01,13613
2012-06-03,6837
2012-06-02,6929
2012-06-05,14190
2012-06-04,12680
2012-06-07,14924
2012-06-06,14744
2012-06-09,6867
2012-06-08,13486
2013-08-20,18746
2013-08-21,19583
2013-08-22,19886
2013-08-23,17997
2013-08-24,9144
2013-08-25,8941
2013-08-26,17091
2013-08-27,19009
2013-08-28,19634
2013-08-29,19440
2010-11-10,8991
2010-11-11,8830
2010-11-12,8254
2010-11-13,4574
2010-11-14,4372
2010-11-15,8266
2010-11-16,8862
2010-11-17,8858
2010-11-18,9091
2010-11-19,8315
2013-12-12,20977
2013-12-13,18230
2013-12-10,21239
2013-12-11,21275
2013-12-16,18694
2013-12-17,20341
2013-12-14,9845
2013-12-15,9899
2013-12-18,20580
2013-12-19,19877
2010-08-16,7335
2010-08-17,8258
2010-08-14,3652
2010-08-15,3548
2010-08-12,7812
2010-08-13,7176
2010-08-10,8029
2010-08-11,8104
2010-08-18,8389
2010-08-19,8265
2010-12-15,9260
2010-12-14,9277
2010-12-17,7897
2010-12-16,8925
2010-12-11,4580
2010-12-10,8475
2010-12-13,8491
2010-12-12,4382
2010-12-19,4333
2010-12-18,4349
2013-11-13,21099
2013-11-12,20764
2013-11-11,18630
2013-11-10,10304
2013-11-17,10540
2013-11-16,10760
2013-11-15,18880
2013-11-14,20767
2013-11-19,20930
2013-11-18,19447
2011-09-30,10787
2012-10-31,15879
2012-10-30,15051
2012-05-17,14208
2011-12-10,6519
2011-12-11,6515
2011-12-12,12207
2011-12-13,13143
2011-12-14,13367
2011-12-15,12798
2011-12-16,11525
2011-12-17,6248
2011-12-18,5973
2011-12-19,11496
2009-07-31,4555
2009-07-30,5257
2013-04-28,9545
2013-04-29,17663
2013-04-24,19839
2013-04-25,19214
2013-04-26,17287
2013-04-27,9446
2013-04-20,9721
2013-04-21,9286
2013-04-22,17902
2013-04-23,19123
2009-03-20,3191
2009-03-21,1570
2009-03-22,1336
2009-03-23,3259
2009-03-24,3442
2009-03-25,3542
2009-03-26,3353
2009-03-27,3218
2009-03-28,1591
2009-03-29,1559
2011-11-22,13229
2011-11-23,13008
2011-11-24,11099
2011-11-25,9979
2011-11-26,6275
2010-05-18,7042
2010-05-15,3134
2012-03-25,7100
2010-05-17,6638
2013-07-09,19203
2010-05-16,3334
2013-07-03,19188
2010-05-11,6687
2013-07-01,16448
2013-07-07,7820
2013-07-06,8184
2013-07-05,16247
2010-05-10,6372
2010-05-13,6195
2012-08-30,16257
2012-03-23,13444
2014-01-06,18181
2009-02-12,3902
2014-01-04,11577
2014-01-05,10789
2014-01-02,17038
2014-01-03,18116
2014-01-01,8713
2014-01-08,21870
2014-01-09,21825
2012-08-20,13523
2009-02-13,3256
2013-03-07,20209
2013-03-06,20587
2013-03-05,19643
2013-03-04,17832
2013-03-03,9770
2013-03-02,10053
2013-03-01,17742
2012-01-31,13980
2012-01-30,12573
2013-03-09,9978
2013-03-08,17931
2010-07-19,7190
2010-07-18,3430
2010-07-13,8128
2010-07-12,6878
2010-07-11,3312
2010-07-10,3524
2010-07-17,3601
2010-07-16,7374
2010-07-15,8147
2010-07-14,7774
2011-07-29,11274
2011-07-28,12592
2011-07-23,5795
2011-07-22,11286
2011-07-21,12442
2011-07-20,12377
2011-07-27,12753
2011-07-26,12251
2011-07-25,11478
2011-07-24,5600
2012-06-30,6979
2013-08-31,9091
2013-08-30,17129
2010-11-07,3933
2010-11-06,4037
2010-11-05,7523
2010-11-04,8351
2010-11-03,8341
2010-11-02,7878
2010-11-01,7096
2010-11-09,9346
2010-11-08,7693
2013-12-01,9893
2013-12-03,20533
2013-12-02,18455
2013-12-05,21210
2013-12-04,21039
2013-12-07,10620
2013-12-06,19292
2013-12-09,19322
2013-12-08,10691
2010-08-05,8018
2010-08-04,7916
2010-08-07,3368
2010-08-06,7281
2010-08-01,3468
2010-08-03,7652
2010-08-02,7254
2010-08-09,7245
2010-08-08,3478
2010-12-28,6671
2010-12-29,7244
2010-12-20,7890
2010-12-21,8509
2010-12-22,8432
2010-12-23,7357
2010-12-24,4566
2010-12-25,2975
2010-12-26,3214
2010-12-27,5873
2009-09-28,4403
2009-09-29,4895
2009-09-22,4864
2009-09-23,4977
2009-09-20,2153
2009-09-21,4415
2009-09-26,2033
2009-09-27,2058
2009-09-24,4675
2009-09-25,4477
2011-09-29,11551
2011-09-28,12040
2011-09-21,12697
2011-09-20,12323
2011-09-23,11247
2011-09-22,12595
2011-09-25,5673
2011-09-24,5779
2011-09-27,12140
2011-09-26,11354
2008-08-02,122
2008-08-03,167
2008-08-01,157
2008-08-06,568
2008-08-07,648
2008-08-04,388
2008-08-05,594
2008-08-08,522
2008-08-09,267
2010-10-20,8067
2010-10-21,8358
2010-10-26,7915
2010-10-27,8407
2011-12-07,13612
2011-12-06,13009
2011-12-05,11977
2011-12-04,6466
2011-12-03,6706
2011-12-02,12278
2011-12-01,13179
2010-10-25,7510
2011-12-09,11764
2011-12-08,12933
2013-04-30,17620
2009-03-31,3209
2009-03-30,3209
2011-11-30,13315
2012-08-29,16001
2012-08-28,15257
2012-08-21,15155
2009-05-31,1891
2012-08-23,15662
2012-08-22,15529
2012-08-25,7237
2012-08-24,13981
2012-08-27,13814
2009-05-30,1963
2014-01-15,22028
2014-01-14,20781
2014-01-17,21030
2014-01-16,22308
2014-01-11,11557
2014-01-10,20814
2014-01-13,19699
2014-01-12,11232
2014-01-19,1365
2014-01-18,12256
2012-01-01,4590
2012-01-02,8706
2012-01-03,11883
2012-01-04,13326
2012-01-05,13689
2012-01-06,12454
2012-01-07,7020
2012-01-08,7249
2012-01-09,12357
2009-02-18,3394
2009-02-19,3414
2012-02-29,14642
2012-02-28,15003
2012-02-27,13578
2012-02-26,7948
2012-02-25,8180
2012-02-24,13949
2012-02-23,15736
2012-02-22,15397
2009-02-14,1415
2012-02-20,13427
2011-07-01,10293
2012-02-14,13896
2011-07-02,5129
2011-07-05,11406
2011-07-04,9141
2009-11-23,5487
2012-06-29,13442
2012-06-28,15345
2011-07-07,12282
2012-06-23,7060
2012-06-22,14434
2012-06-21,15813
2011-07-06,12235
2012-06-27,15993
2012-06-26,15847
2012-06-25,14215
2012-06-24,6917
2012-05-02,14923
2012-09-30,7112
2013-09-18,19389
2013-09-19,19457
2013-09-12,19620
2013-09-13,17880
2013-09-10,18735
2013-09-11,19293
2013-09-16,17585
2013-09-17,19338
2013-09-14,8996
2013-09-15,9456
2013-12-30,15583
2013-12-31,12852
2013-03-16,10179
2013-03-17,9763
2012-05-16,15100
2010-12-31,4755
2010-12-30,7130
2013-03-18,18006
2009-09-30,4900
2013-03-24,10122
2010-08-30,6925
2010-08-31,7697
2013-03-27,18960
2013-03-26,19170
2011-09-18,5583
2011-09-19,11281
2011-09-14,12328
2011-09-15,12228
2011-09-16,10776
2011-09-17,6045
2011-09-10,5836
2011-09-11,5717
2011-09-12,11253
2011-09-13,12250
2009-05-26,4129
2009-05-27,4489
2008-08-13,622
2008-08-12,595
2008-08-15,681
2008-08-14,738
2008-08-17,335
2008-08-16,281
2008-08-19,1093
2008-08-18,810
2013-03-22,18069
2009-05-28,4466
2009-05-29,4176
2013-08-12,17713
2012-08-18,7347
2012-08-19,6593
2012-08-14,15773
2012-08-15,14075
2012-08-16,15326
2012-08-17,14016
2012-08-10,14482
2012-08-11,6689
2012-08-12,6950
2012-08-13,14416
2013-10-10,20107
